Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Qatar,457 (330 -- 617),Stable,0.99 (0.83 -- 1.2),-0.0028 (-0.048 -- 0.042),-250 (17 -- -15)
Romania,5068 (3461 -- 9215),Likely increasing,1.1 (0.97 -- 1.6),0.034 (-0.0078 -- 0.14),20 (4.8 -- -88)
Russia,10779 (8777 -- 13147),Stable,1 (0.89 -- 1.1),0.0019 (-0.03 -- 0.034),360 (20 -- -23)
Rwanda,127 (41 -- 413),Stable,1.1 (0.64 -- 1.6),0.016 (-0.11 -- 0.17),44 (4.2 -- -6.6)
Réunion,772 (176 -- 3744),Likely increasing,1.2 (0.83 -- 1.7),0.064 (-0.047 -- 0.18),11 (3.8 -- -15)
Saint Martin (French part),8 (2 -- 32),Stable,1 (0.78 -- 1.3),0.0011 (-0.062 -- 0.079),650 (8.7 -- -11)
San Marino,36 (17 -- 111),Likely increasing,1 (0.91 -- 1.3),0.012 (-0.025 -- 0.086),57 (8.1 -- -28)
Saudi Arabia,407 (189 -- 918),Likely increasing,1.1 (0.71 -- 1.8),0.029 (-0.085 -- 0.2),24 (3.5 -- -8.1)
Senegal,213 (118 -- 412),Likely decreasing,0.96 (0.76 -- 1.2),-0.012 (-0.067 -- 0.063),-59 (11 -- -10)
Serbia,4019 (2413 -- 6094),Stable,0.99 (0.75 -- 1.2),-0.004 (-0.072 -- 0.052),-170 (13 -- -9.7)
Seychelles,26 (1 -- 198),Likely decreasing,0.77 (0.22 -- 1.4),-0.066 (-0.25 -- 0.096),-11 (7.2 -- -2.7)
Sierra Leone,0 (0 -- 9),Likely decreasing,0.68 (0.33 -- 1.4),-0.091 (-0.21 -- 0.11),-7.6 (6.3 -- -3.3)
Singapore,17 (6 -- 55),Likely increasing,1.2 (0.87 -- 1.8),0.044 (-0.035 -- 0.19),16 (3.6 -- -20)
Sint Maarten,1 (0 -- 3),Decreasing,0.72 (0.43 -- 0.96),-0.08 (-0.17 -- -0.01),-8.7 (-66 -- -4)
Slovakia,2623 (1673 -- 4422),Likely increasing,1 (0.88 -- 1.2),0.0053 (-0.032 -- 0.045),130 (16 -- -22)
