region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Malta,1.1 (0.82 -- 1.6),1.1,1.2,0.23,0.82,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.25
Martinique,1.1 (0.81 -- 1.6),1.1,1.2,0.26,0.81,0.99,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.26
Mauritania,1.1 (0.79 -- 1.5),1.1,1.1,0.23,0.79,0.96,1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.32
New Zealand,1.1 (0.46 -- 1.4),1.1,1,0.29,0.46,0.84,0.99,1.1,1.2,1.4,Effective reproduction no.,Stable,0.42
Niger,1.1 (0.84 -- 1.4),1.1,1.1,0.16,0.84,0.99,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.27
Poland,1.1 (0.95 -- 1.4),1.1,1.1,0.12,0.95,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.12
Slovakia,1.1 (0.91 -- 1.4),1.1,1.1,0.14,0.91,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.18
South Africa,1.1 (0.88 -- 1.3),1.1,1.1,0.13,0.88,0.98,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.31
South Korea,1.1 (0.92 -- 1.3),1.1,1.1,0.11,0.92,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.17
Trinidad & Tobago,1.1 (0.96 -- 1.4),1.1,1.2,0.12,0.96,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.097
Algeria,1 (0.79 -- 1.3),1,1,0.16,0.79,0.93,0.99,1.1,1.1,1.3,Effective reproduction no.,Stable,0.43
Argentina,1 (0.9 -- 1.2),1,1,0.085,0.9,0.97,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.35
Bahamas,1 (0 -- 4),1,1,1,0,0,1,1,2,4,New confirmed cases by infection date,Likely increasing,0.35
Barbados,1 (0 -- 4),1,2,1,0,1,1,1,2,4,New confirmed cases by infection date,Likely decreasing,0.7
Belize,1 (0 -- 3),1,1,0,0,1,1,1,2,3,New confirmed cases by infection date,Likely decreasing,0.78
Brazil,1 (0.91 -- 1.1),1,1,0.058,0.91,0.97,0.99,1,1,1.1,Effective reproduction no.,Stable,0.47
Cambodia,1 (0.81 -- 1.2),1,1,0.14,0.81,0.92,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.48
Cameroon,1 (0 -- 3),1,1,1,0,0,0,1,1,3,New confirmed cases by infection date,Likely decreasing,0.87
Dominican Republic,1 (0 -- 3),1,1,1,0,0,1,1,2,3,New confirmed cases by infection date,Likely decreasing,0.76
El Salvador,1 (0 -- 2),1,1,0,0,1,1,1,1,2,New confirmed cases by infection date,Decreasing,1
Ethiopia,1 (0.85 -- 1.2),1,1,0.12,0.85,0.94,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.44
